CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2015 ",,,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,,
,, Menos de 15 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 5.726   , -     , 17   , 266   , 597   , 596   , 412   , 253   , 160   , 96   , 57   , 78   , 3.194   ,
 Menos de 15 , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,
 15 - 19 , 105   , -     , 6   , 57   , 23   , 6   , 6   , 2   , 1   , 1   , -     , -     , 3   ,
 20 - 24 , 520   , -     , 8   , 149   , 235   , 82   , 24   , 10   , 4   , -     , 1   , -     , 7   ,
 25 - 29 , 639   , -     , 2   , 49   , 253   , 221   , 55   , 17   , 12   , 1   , -     , 2   , 27   ,
 30 - 34 , 515   , -     , 1   , 6   , 60   , 196   , 144   , 39   , 17   , 5   , 1   , 2   , 44   ,
 35 - 39 , 332   , -     , -     , 2   , 6   , 42   , 118   , 71   , 25   , 10   , 6   , 5   , 47   ,
 40 - 44 , 211   , -     , -     , -     , 4   , 7   , 17   , 61   , 42   , 20   , 8   , 8   , 44   ,
 45 - 49 , 94   , -     , -     , 1   , 2   , 3   , 7   , 10   , 25   , 21   , 5   , 1   , 19   ,
 50 - 54 , 67   , -     , -     , -     , -     , 1   , 2   , 1   , 3   , 16   , 16   , 11   , 17   ,
 55 - 59 , 37   , -     , -     , -     , 1   , -     , 1   , 1   , 1   , 2   , 9   , 15   , 7   ,
 60 y más , 31   , -     , -     , -     , -     , -     , -     , -     , 1   , 2   , 2   , 20   , 6   ,
 Ignorado , 3.175   , -     , -     , 2   , 13   , 38   , 38   , 41   , 29   , 18   , 9   , 14   , 2.973   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2015 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 5.726 , 345 , 2 , - , 1.925 , 15 , 3.439 
 Maya , 334 , 228 , 1 , - , 47 , 1 , 57 
 Garífuna , 1 , - , 1 , - , - , - , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.983 , 71 , - , - , 1.593 , 7 , 312 
 Otro , 12 , 3 , - , - , 5 , 1 , 3 
 Ignorado , 3.396 , 43 , - , - , 280 , 6 , 3.067 
" Divorcios por mes de registro, según departamento de registro, año 2015 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Escuintla, 335 , 137 , 407 , 414 , 411 
Santa Rosa, 189 , 160 , 323 , 311 , 276 
Sololá, 104 , 42 , 94 , 125 , 156 
Totonicapán, 128 , 73 , 143 , 161 , 135 
Quetzaltenango, 739 , 442 , 897 , 957 , 1.056 
Suchitepéquez, 195 , 153 , 345 , 479 , 467 
Retalhuleu, 189 , 113 , 307 , 351 , 344 
San Marcos, 267 , 178 , 381 , 484 , 485 
Huehuetenango, 229 , 128 , 370 , 414 , 411 
Quiché, 188 , 139 , 262 , 295 , 321 
Baja Verapaz, 130 , 43 , 139 , 125 , 205 
Alta Verapaz, 132 , 91 , 174 , 167 , 167 
Petén, 212 , 118 , 277 , 343 , 336 
Izabal, 208 , 122 , 303 , 251 , 323 
Zacapa, 202 , 80 , 178 , 202 , 167 
Chiquimula, 159 , 132 , 283 , 222 , 212 
Jalapa, 212 , 95 , 263 , 268 , 207 
Jutiapa, 198 , 124 , 283 , 294 , 353 
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,

" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2023 ",,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,
,, Menos de 20 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 10.250   , 4   , 191   , 1.104   , 1.792   , 1.387   , 1.019   , 615   , 402   , 227   , 243   , 3.266   ,
 Menos de 20 , 14   , 2   , 4   , 6   , 1   , -     , -     , -     , -     , -     , 1   , -     ,
 20 - 24 , 521   , 2   , 129   , 256   , 90   , 22   , 11   , 3   , 2   , 3   , 3   , -     ,
 25 - 29 , 1.631   , -     , 51   , 644   , 669   , 187   , 45   , 12   , 14   , 4   , 4   , 1   ,
 30 - 34 , 1.779   , -     , 4   , 154   , 806   , 548   , 178   , 40   , 19   , 7   , 10   , 13   ,
 35 - 39 , 1.204   , -     , 2   , 26   , 171   , 438   , 346   , 111   , 33   , 12   , 17   , 48   ,
 40 - 44 , 810   , -     , 1   , 11   , 34   , 128   , 282   , 184   , 61   , 26   , 26   , 57   ,
 45 - 49 , 501   , -     , -     , 3   , 11   , 25   , 65   , 168   , 115   , 40   , 25   , 49   ,
 50 - 54 , 284   , -     , -     , 2   , 4   , 2   , 22   , 41   , 86   , 58   , 32   , 37   ,
 55 - 59 , 135   , -     , -     , 2   , -     , 3   , 4   , 6   , 18   , 33   , 46   , 23   ,
 60 y más , 109   , -     , -     , -     , 1   , 1   , 2   , 3   , 9   , 15   , 57   , 21   ,
 Ignorado , 3.262   , -     , -     , -     , 5   , 33   , 64   , 47   , 45   , 29   , 22   , 3.017   ,
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
" Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa, año 2023 ",,,,,,,
 Pueblo de pertenencia de la esposa , Total , Pueblo de pertenencia del esposo ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 10.250 , 1.003 , 4 , 3 , 5.436 , 96 , 3.708 
 Maya , 919 , 697 , - , - , 149 , 6 , 67 
 Garífuna , 3 , - , 2 , - , - , - , 1 
 Xinka , 5 , - , - , - , 5 , - , - 
 Mestizo / ladino , 5.454 , 202 , 1 , 1 , 4.658 , 61 , 531 
 Otro , 120 , 17 , - , - , 74 , 9 , 20 
 Ignorado , 3.749 , 87 , 1 , 2 , 550 , 20 , 3.089 
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,
" Divorcios por mes de registro, según departamento de registro, año 2023 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 10.250 , 844 , 780 , 983 , 790 , 903 , 930 , 822 , 934 , 864 , 780 , 891 , 729 
Guatemala, 3.631 , 290 , 260 , 301 , 305 , 322 , 320 , 331 , 356 , 289 , 234 , 327 , 296 
El Progreso, 152 , 13 , 16 , 18 , 13 , 9 , 15 , 8 , 17 , 8 , 8 , 16 , 11 
Sacatepéquez, 226 , 20 , 16 , 27 , 19 , 15 , 23 , 22 , 18 , 20 , 18 , 18 , 10 
Chimaltenango, 209 , 15 , 18 , 20 , 17 , 13 , 17 , 15 , 28 , 13 , 15 , 29 , 9 
Escuintla, 411 , 34 , 36 , 39 , 23 , 29 , 30 , 35 , 39 , 40 , 25 , 46 , 35 
Santa Rosa, 276 , 20 , 28 , 31 , 18 , 24 , 38 , 15 , 13 , 29 , 8 , 36 , 16 
Sololá, 156 , 18 , 7 , 20 , 22 , 20 , 17 , 13 , 15 , 14 , - , 3 , 7 
Totonicapán, 135 , 15 , 14 , 18 , 6 , 17 , 15 , 10 , 9 , 14 , 6 , 6 , 5 
Quetzaltenango, 1.056 , 110 , 72 , 101 , 95 , 114 , 91 , 73 , 98 , 90 , 83 , 74 , 55 
Suchitepéquez, 467 , 27 , 33 , 56 , 28 , 27 , 54 , 50 , 38 , 33 , 48 , 39 , 34 
Retalhuleu, 344 , 25 , 34 , 34 , 22 , 31 , 35 , 27 , 33 , 22 , 30 , 33 , 18 
San Marcos, 485 , 40 , 37 , 51 , 37 , 40 , 38 , 34 , 46 , 45 , 36 , 39 , 42 
Huehuetenango, 411 , 30 , 44 , 26 , 24 , 45 , 37 , 32 , 32 , 29 , 45 , 40 , 27 
Quiche, 321 , 26 , 12 , 24 , 22 , 22 , 38 , 22 , 34 , 29 , 37 , 17 , 38 
Baja Verapaz, 205 , 29 , 19 , 31 , 7 , 12 , 15 , 18 , 18 , 15 , 24 , 10 , 7 
Alta Verapaz, 167 , 10 , 24 , 21 , 7 , 15 , 14 , 11 , 8 , 21 , 9 , 11 , 16 
Peten, 336 , 21 , 14 , 45 , 24 , 27 , 29 , 17 , 34 , 33 , 38 , 26 , 28 
Izabal, 323 , 25 , 24 , 30 , 24 , 30 , 21 , 21 , 30 , 28 , 33 , 38 , 19 
Zacapa, 167 , 12 , 17 , 15 , 14 , 10 , 16 , 13 , 14 , 19 , 14 , 16 , 7 
Chiquimula, 212 , 16 , 19 , 16 , 25 , 20 , 18 , 15 , 17 , 18 , 11 , 24 , 13 
Jalapa, 207 , 27 , 11 , 27 , 12 , 24 , 12 , 14 , 13 , 14 , 21 , 20 , 12 
Jutiapa, 353 , 21 , 25 , 32 , 26 , 37 , 37 , 26 , 24 , 41 , 37 , 23 , 24 
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
" Divorcios por grupos ocupacionales de la esposa, según subgrupos ocupacionales del esposo, año 2023 ",,,,,,,,,,,,,
 Grupos ocupacionales del esposo , Grupos ocupacionales de la esposa ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de instalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 10.250 , 1 , 39 , 1.143 , 463 , 750 , 451 , - , 63 , 30 , 430 , 5.236 , 1.644 
 Ocupaciones militares , 24 , - , - , 11 , - , 5 , - , - , - , - , - , 8 , - 
 Directores y gerentes , 46 , - , 4 , 16 , 5 , 5 , 1 , - , - , - , 1 , 14 , - 
 Profesionales científicos e intelectuales , 783 , - , 11 , 326 , 49 , 66 , 32 , - , 2 , - , 19 , 278 , - 
 Técnicos y profesionales de nivel medio , 845 , - , 3 , 166 , 108 , 140 , 47 , - , 8 , 3 , 26 , 344 , - 
 Personal de apoyo administrativo , 443 , - , 2 , 72 , 51 , 113 , 22 , - , 1 , 2 , 15 , 165 , - 
 Trabajadores de los servicios y vendedores de comercios y mercados , 997 , - , 3 , 118 , 40 , 96 , 139 , - , 12 , 2 , 38 , 549 , - 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 40 , - , - , 3 , - , 1 , 1 , - , - , - , 4 , 31 , - 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 871 , - , 1 , 73 , 50 , 53 , 61 , - , 18 , 4 , 49 , 562 , - 
 Operadores de instalaciones y máquinas y ensambladores , 364 , - , - , 25 , 16 , 36 , 28 , - , 2 , 8 , 21 , 228 , - 
 Ocupaciones elementales , 1.606 , 1 , - , 54 , 30 , 31 , 43 , - , 11 , 8 , 133 , 1.295 , - 
 No especificado en otro grupo , 2.587 , - , 15 , 279 , 114 , 204 , 77 , - , 9 , 3 , 124 , 1.762 , - 
 Ignorado , 1.644 , - , - , - , - , - , - , - , - , - , - , - , 1.644 
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2023",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 10.250   , 855   , 845   , 1.052   , 674   , 958   , 987   , 836   , 1.033   , 901   , 842   , 770   , 497   
1, 277   , 1   , 43   , 47   , -     , -     , 46   , 1   , 53   , 51   , -     , -     , 35   
2, 318   , -     , 47   , 54   , -     , 56   , 30   , -     , 36   , -     , 55   , 40   , -     
3, 324   , 22   , 36   , 51   , 31   , 48   , 1   , 3   , 41   , -     , 49   , 42   , -     
4, 300   , 26   , -     , 1   , 24   , 39   , -     , 57   , 42   , 50   , 34   , 3   , 24   
5, 312   , 24   , -     , -     , -     , 43   , 73   , 57   , -     , 52   , 42   , -     , 21   
6, 328   , 29   , 30   , 46   , -     , -     , 39   , 41   , -     , 41   , 37   , 33   , 32   
7, 320   , -     , 46   , 34   , 3   , -     , 38   , 25   , 46   , 48   , -     , 40   , 40   
8, 305   , 1   , 30   , 35   , -     , 34   , 53   , -     , 58   , 42   , -     , 31   , 21   
9, 336   , 42   , 55   , 47   , -     , 50   , 39   , -     , 33   , -     , 23   , 47   , -     
10, 364   , 45   , 38   , 45   , 52   , 19   , -     , 47   , 63   , -     , 28   , 27   , -     
11, 302   , 42   , -     , 1   , 41   , 42   , -     , 36   , 32   , 51   , 22   , -     , 35   
12, 333   , 37   , -     , 1   , 45   , 47   , 54   , 31   , -     , 49   , 33   , -     , 36   
13, 375   , 48   , 39   , 47   , 48   , -     , 56   , 40   , -     , 48   , 25   , 5   , 19   
14, 373   , -     , 45   , 53   , 36   , -     , 45   , 41   , 31   , 49   , -     , 44   , 29   
15, 285   , 3   , 35   , 42   , -     , 43   , 55   , -     , 37   , 1   , 1   , 39   , 29   
16, 341   , 40   , 50   , 55   , -     , 45   , 24   , 2   , 44   , -     , 38   , 43   , -     
17, 354   , 44   , 39   , 40   , 34   , 41   , -     , 39   , 52   , 1   , 30   , 34   , -     
18, 329   , 38   , 2   , -     , 33   , 52   , -     , 47   , 38   , 58   , 37   , -     , 24   
19, 326   , 38   , -     , -     , 24   , 39   , 54   , 35   , 1   , 40   , 58   , -     , 37   
20, 425   , 43   , 50   , 49   , 52   , -     , 54   , 65   , -     , 42   , 2   , 43   , 25   
21, 329   , 1   , 52   , 52   , 31   , -     , 52   , 35   , 2   , 35   , -     , 39   , 30   
22, 348   , -     , 41   , 46   , -     , 48   , 58   , -     , 73   , 42   , 1   , 38   , 1   
23, 401   , 59   , 55   , 55   , 1   , 46   , 25   , 1   , 51   , 2   , 60   , 46   , -     
24, 386   , 35   , 42   , 39   , 60   , 37   , -     , 45   , 48   , -     , 50   , 30   , -     
25, 318   , 56   , -     , 1   , 40   , 52   , -     , 43   , 56   , 22   , 48   , -     , -     
26, 287   , 39   , -     , -     , 38   , 58   , 5   , 26   , 1   , 46   , 55   , 1   , 18   
27, 422   , 45   , 35   , 45   , 53   , 1   , 59   , 38   , -     , 39   , 45   , 46   , 16   
28, 368   , 3   , 35   , 45   , 28   , -     , 52   , 41   , 55   , 48   , -     , 36   , 25   
29, 240   , -     , -     , 37   , -     , 43   , 43   , 1   , 41   , 44   , 1   , 30   , -     
30, 308   , 53   , -     , 47   , -     , 34   , 32   , -     , 46   , -     , 63   , 33   , -     
31, 216   , 41   , -     , 37   , -     , 41   , -     , 39   , 53   , -     , 5   , -     , -     
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
"Tasa bruta de divorcios por  cada 100,000 habitantes",,,,,,,,,,,,,,,,,,,
"Por año de ocurrencia, según departamento de ocurrencia",,,,,,,,,,,,,,,,,,,
Año,2019,2020,2021,2022,2023,,,,,,,,,,,,,,
República,"49,4","24,2","56,2","57,3","58,2",,,,,,,,,,,,,,
Guatemala,"100,5","38,7","93,8","91,5","93,7",,,,,,,,,,,,,,
El Progreso,"76,1","35,2","106,0","91,5","76,2",,,,,,,,,,,,,,
Sacatepéquez,"43,8","21,8","47,7","43,2","51,4",,,,,,,,,,,,,,
Chimaltenango,"23,9","16,6","34,6","27,7","28,4",,,,,,,,,,,,,,
Escuintla,"49,8","21,7","61,8","61,1","62,2",,,,,,,,,,,,,,
Santa Rosa,"47,8","37,2","72,4","70,0","58,9",,,,,,,,,,,,,,
Sololá,"23,9","8,8","20,2","28,5","34,2",,,,,,,,,,,,,,
Totonicapán,"32,7","18,1","36,4","40,1","36,4",,,,,,,,,,,,,,
Quetzaltenango,"74,2","41,8","84,4","86,0","87,4",,,,,,,,,,,,,,
Suchitepéquez,"40,8","25,9","53,7","78,3","74,4",,,,,,,,,,,,,,
Retalhuleu,"53,9","32,1","82,9","86,7","93,1",,,,,,,,,,,,,,
San Marcos,"27,3","17,6","38,0","46,8","45,5",,,,,,,,,,,,,,
Huehuetenango,"18,6","10,1","28,5","31,5","30,7",,,,,,,,,,,,,,
Quiché,"19,6","13,8","25,9","28,5","28,6",,,,,,,,,,,,,,
Baja Verapaz,"49,0","15,2","51,3","42,8","69,3",,,,,,,,,,,,,,
Alta Verapaz,"10,4","7,7","14,3","14,3","13,0",,,,,,,,,,,,,,
Petén,"31,3","17,3","41,5","51,6","50,6",,,,,,,,,,,,,,
Izabal,"49,0","30,4","69,4","63,2","74,4",,,,,,,,,,,,,,
Zacapa,"74,7","34,0","65,8","71,4","61,6",,,,,,,,,,,,,,
Chiquimula,"42,0","23,3","60,1","46,8","53,1",,,,,,,,,,,,,,
Jalapa,"48,0","23,1","60,6","58,4","44,7",,,,,,,,,,,,,,
Jutiapa,"43,4","28,2","67,2","72,0","83,9",,,,,,,,,,,,,,
" Fuente: Estadísticas Vitales, INE. Elaborado con base en los datos recibidos del RENAP ",,,,,,,,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,,,,,,,


Nota Técnica,,,,,,,,,,,,



Tasa bruta de divorcios por departamento. Serie Histórica 2019-2023,,,,,,,,,,,,

"Tasa bruta de divorcios por cada 1,000 habitantes por departamento, incluye series históricas con la tasa bruta de divorcios desagregada por departamento.

Para el cálculo de la tasa se analizan los casos de divorcios celebrados en un periodo determinado dividido entre la población media del mismo periodo (años 2019-2023, estimaciones y proyecciones censo nacional 2018) por cada 1,000 habitantes.",,,,,,,,,,,,
Formula de cálculo:,,,,,,,,,,,,



CONTENIDO,,,,,,,,

,Presentación,,,,,,,
1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por grupos ocupacionales de la esposa, según grupos ocupacionales del esposo",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2022 ",,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,
,, Menos de 20 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 9.950   , 2   , 204   , 1.083   , 1.749   , 1.316   , 863   , 576   , 292   , 191   , 200   , 3.474   ,
 Menos de 20 , 9   , 1   , 7   , 1   , -     , -     , -     , -     , -     , -     , -     , -     ,
 20 - 24 , 581   , -     , 139   , 286   , 100   , 35   , 8   , 4   , 5   , 2   , 2   , -     ,
 25 - 29 , 1.603   , 1   , 52   , 629   , 672   , 179   , 44   , 12   , 6   , 4   , 4   , -     ,
 30 - 34 , 1.670   , -     , 4   , 132   , 767   , 528   , 140   , 45   , 16   , 7   , 4   , 27   ,
 35 - 39 , 1.062   , -     , 1   , 24   , 143   , 399   , 285   , 97   , 21   , 19   , 16   , 57   ,
 40 - 44 , 756   , -     , 1   , 5   , 36   , 100   , 262   , 198   , 52   , 19   , 20   , 63   ,
 45 - 49 , 388   , -     , -     , 2   , 19   , 22   , 58   , 122   , 82   , 23   , 24   , 36   ,
 50 - 54 , 224   , -     , -     , -     , 4   , 6   , 11   , 36   , 68   , 51   , 24   , 24   ,
 55 - 59 , 92   , -     , -     , -     , 1   , -     , -     , 5   , 10   , 35   , 27   , 14   ,
 60 y más , 92   , -     , -     , 1   , 1   , 2   , 3   , 2   , 6   , 7   , 53   , 17   ,
 Ignorado , 3.473   , -     , -     , 3   , 6   , 45   , 52   , 55   , 26   , 24   , 26   , 3.236   ,
" Fuente: Estadísticas Vitales, INE ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
" Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa, año 2022 ",,,,,,,
 Pueblo de pertenencia de la esposa , Total , Pueblo de pertenencia del esposo ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 9.950 , 902 , 2 , 4 , 4.994 , 158 , 3.890 
 Maya , 854 , 622 , - , - , 143 , 16 , 73 
 Garífuna , 1 , - , - , - , - , - , 1 
 Xinka , 8 , - , - , - , 7 , - , 1 
 Mestizo / ladino , 4.994 , 204 , 1 , 3 , 4.230 , 99 , 457 
 Otro , 169 , 13 , - , - , 111 , 18 , 27 
 Ignorado , 3.924 , 63 , 1 , 1 , 503 , 25 , 3.331 
" Fuente: Estadísticas Vitales, INE ",,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,
" Divorcios por mes de registro, según departamento de registro, año 2022 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 9.950 , 726 , 640 , 929 , 746 , 786 , 1.021 , 762 , 1.014 , 913 , 898 , 827 , 688 
Guatemala, 3.494 , 264 , 237 , 292 , 260 , 262 , 359 , 264 , 370 , 344 , 309 , 301 , 232 
El Progreso, 183 , 11 , 8 , 26 , 17 , 14 , 25 , 13 , 29 , 10 , 11 , 4 , 15 
Sacatepéquez, 201 , 12 , 13 , 16 , 25 , 9 , 28 , 13 , 16 , 25 , 15 , 15 , 14 
Chimaltenango, 209 , 17 , 15 , 28 , 23 , 18 , 15 , 19 , 17 , 18 , 14 , 11 , 14 
Escuintla, 414 , 19 , 17 , 43 , 34 , 37 , 35 , 42 , 38 , 42 , 38 , 37 , 32 
Santa Rosa, 311 , 25 , 15 , 47 , 14 , 22 , 21 , 33 , 32 , 21 , 30 , 18 , 33 
Sololá, 125 , 19 , 15 , 11 , 4 , 6 , 14 , 6 , 12 , 6 , 12 , 9 , 11 
Totonicapán, 161 , 11 , 11 , 19 , 13 , 19 , 16 , 12 , 14 , 13 , 14 , 11 , 8 
Quetzaltenango, 957 , 67 , 71 , 81 , 79 , 85 , 92 , 68 , 112 , 72 , 100 , 73 , 57 
Suchitepéquez, 479 , 33 , 23 , 41 , 35 , 37 , 46 , 43 , 54 , 46 , 42 , 55 , 24 
Retalhuleu, 351 , 21 , 16 , 39 , 28 , 30 , 47 , 29 , 34 , 35 , 26 , 20 , 26 
San Marcos, 484 , 32 , 28 , 37 , 51 , 37 , 48 , 40 , 47 , 42 , 37 , 45 , 40 
Huehuetenango, 414 , 22 , 35 , 41 , 39 , 42 , 40 , 33 , 48 , 36 , 38 , 31 , 9 
Quiche, 295 , 19 , 13 , 19 , 20 , 25 , 39 , 30 , 24 , 19 , 24 , 42 , 21 
Baja Verapaz, 125 , 20 , 8 , 8 , 5 , 11 , 6 , 1 , 4 , 12 , 18 , 15 , 17 
Alta Verapaz, 167 , 18 , 10 , 21 , 10 , 22 , 16 , 11 , 13 , 14 , 17 , 9 , 6 
Peten, 343 , 36 , 18 , 35 , 19 , 23 , 27 , 18 , 39 , 38 , 31 , 24 , 35 
Izabal, 251 , 11 , 23 , 27 , 19 , 16 , 24 , 17 , 28 , 25 , 24 , 26 , 11 
Zacapa, 202 , 18 , 15 , 20 , 14 , 14 , 22 , 13 , 16 , 13 , 18 , 19 , 20 
Chiquimula, 222 , 16 , 16 , 24 , 11 , 21 , 26 , 20 , 18 , 22 , 22 , 15 , 11 
Jalapa, 268 , 22 , 15 , 37 , 6 , 3 , 50 , 16 , 17 , 22 , 32 , 25 , 23 
Jutiapa, 294 , 13 , 18 , 17 , 20 , 33 , 25 , 21 , 32 , 38 , 26 , 22 , 29 
" Fuente: Estadísticas Vitales, INE ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
" Divorcios por grupos ocupacionales de la esposa, según subgrupos ocupacionales del esposo, año 2022 ",,,,,,,,,,,,,
 Grupos ocupacionales del esposo , Grupos ocupacionales de la esposa ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de instalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 9.950 , 3 , 28 , 1.043 , 418 , 733 , 398 , - , 82 , 30 , 22 , 5.287 , 1.906 
 Ocupaciones militares , 18 , 2 , - , 4 , - , 4 , 1 , - , - , - , - , 6 , 1 
 Directores y gerentes , 46 , - , 3 , 9 , 2 , 10 , 3 , - , - , - , - , 17 , 2 
 Profesionales científicos e intelectuales , 678 , 1 , 11 , 282 , 46 , 45 , 23 , - , 1 , 1 , 1 , 251 , 16 
 Técnicos y profesionales de nivel medio , 821 , - , 1 , 156 , 120 , 139 , 39 , - , 5 , - , 1 , 337 , 23 
 Personal de apoyo administrativo , 414 , - , 2 , 53 , 34 , 118 , 25 , - , 4 , 1 , - , 160 , 17 
 Trabajadores de los servicios y vendedores de comercios y mercados , 941 , - , 3 , 108 , 36 , 85 , 116 , - , 7 , 2 , 5 , 535 , 44 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 32 , - , - , 4 , 4 , 1 , - , - , - , - , - , 18 , 5 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 722 , - , 1 , 57 , 26 , 47 , 35 , - , 28 , 3 , 4 , 468 , 53 
